Date North America[31][32][33],City North America[31][32][33],Country North America[31][32][33],Venue North America[31][32][33],Attendance North America[31][32][33],Revenue North America[31][32][33]
11 June 2023,Birmingham,England,Utilita Arena Birmingham,—,—
13 June 2023,Aberdeen,Scotland,P&J Live,—,—
15 June 2023,Aberdeen,Scotland,P&J Live,—,—
17 June 2023,Glasgow,Scotland,OVO Hydro,—,—
18 June 2023,Glasgow,Scotland,OVO Hydro,—,—
21 June 2023,Paris,France,Accor Arena,—,—
25 June 2023[x],Pilton,England,Worthy Farm,—,—
27 June 2023,Paris,France,Accor Arena,—,—
28 June 2023,Paris,France,Accor Arena,—,—
1 July 2023,Zürich,Switzerland,Hallenstadion,—,—
2 July 2023,Zürich,Switzerland,Hallenstadion,—,—
5 July 2023,Copenhagen,Denmark,Royal Arena,—,—
7 July 2023,Stockholm,Sweden,Tele2 Arena,—,—
8 July 2023,Stockholm,Sweden,Tele2 Arena,—,—
Total,Total,Total,Total,"5,520,938/ 5,528,388","$816,840,988"
