Dates Europe[2][28],City Europe[2][28],Country Europe[2][28],Venue Europe[2][28],Opening act(s) Europe[2][28],Attendance Europe[2][28],Revenue Europe[2][28]
7 June 2019,Barcelona,Spain,Estadi Olímpic Lluís Companys,James Bay Zara Larsson,"54,658 / 54,658","$4,126,519"
11 June 2019,Madrid,Spain,Wanda Metropolitano,James Bay Zara Larsson,"51,944 / 51,944","$3,793,349"
14 June 2019[g],Florence,Italy,Ippodromo del Visarno,—,—,—
16 June 2019,Rome,Italy,Stadio Olimpico,James Bay Zara Larsson,"58,959 / 58,959","$4,549,349"
19 June 2019,Milan,Italy,Stadio Giuseppe Meazza,James Bay Zara Larsson,"54,892 / 54,892","$4,020,920"
22 June 2019,Hockenheim,Germany,Hockenheimring,James Bay Zara Larsson,"191,120 / 202,888","$16,289,639"
23 June 2019,Hockenheim,Germany,Hockenheimring,James Bay Zara Larsson,"191,120 / 202,888","$16,289,639"
28 June 2019,Klagenfurt,Austria,Wörthersee Stadion,James Bay Zara Larsson,"67,535 / 67,698","$6,279,570"
29 June 2019,Klagenfurt,Austria,Wörthersee Stadion,James Bay Zara Larsson,"67,535 / 67,698","$6,279,570"
3 July 2019,Bucharest,Romania,Arena Națională,James Bay Zara Larsson,"47,166 / 48,106","$2,942,900"
7 July 2019,Prague,Czech Republic,Letňany,James Bay Zara Larsson,"142,036 / 157,980","$11,419,946"
8 July 2019,Prague,Czech Republic,Letňany,James Bay Zara Larsson,"142,036 / 157,980","$11,419,946"
12 July 2019,Riga,Latvia,Lucavsala Park,James Bay Zara Larsson,"50,437 / 63,550","$3,982,564"
19 July 2019,Moscow,Russia,Otkritie Arena,James Bay Zara Larsson,"39,841 / 41,857","$3,585,231"
23 July 2019,Helsinki,Finland,Malmi Airport,James Bay Zara Larsson,"108,000 / 118,216","$9,481,707"
24 July 2019,Helsinki,Finland,Malmi Airport,James Bay Zara Larsson,"108,000 / 118,216","$9,481,707"
27 July 2019,Odense,Denmark,Tusindårsskoven,James Bay Zara Larsson,"87,401 / 87,401","$8,848,720"
28 July 2019,Odense,Denmark,Tusindårsskoven,James Bay Zara Larsson,"87,401 / 87,401","$8,848,720"
2 August 2019,Hanover,Germany,Messegelände,James Bay Zara Larsson,"131,538 / 148,720","$12,560,432"
3 August 2019,Hanover,Germany,Messegelände,James Bay Zara Larsson,"131,538 / 148,720","$12,560,432"
7 August 2019[h],Budapest,Hungary,Sziget Festival,—,—,—
10 August 2019,Reykjavik,Iceland,Laugardalsvöllur,James Bay Zara Larsson,"43,830 / 56,642","$7,180,912"
11 August 2019,Reykjavik,Iceland,Laugardalsvöllur,James Bay Zara Larsson,"43,830 / 56,642","$7,180,912"
16 August 2019,Leeds,England,Roundhay Park,The Darkness Lewis Capaldi,"136,358 / 140,000","$12,405,249"
17 August 2019,Leeds,England,Roundhay Park,The Darkness Lewis Capaldi,"136,358 / 140,000","$12,405,249"
23 August 2019,Ipswich,England,Chantry Park,The Darkness Passenger,"139,984 / 181,548","$12,913,212"
24 August 2019,Ipswich,England,Chantry Park,The Darkness Passenger,"139,984 / 181,548","$12,913,212"
25 August 2019,Ipswich,England,Chantry Park,The Darkness Lewis Capaldi,"139,984 / 181,548","$12,913,212"
26 August 2019,Ipswich,England,Chantry Park,The Darkness Lewis Capaldi,"139,984 / 181,548","$12,913,212"
Total,Total,Total,Total,Total,"8,908,150 / 9,078,636 (98.12%)","$776,195,930"
